09-01-2018 06:00,458
09-01-2018 07:00,61
09-01-2018 08:00,18342
09-01-2018 09:00,60175
09-01-2018 10:00,118348
09-01-2018 11:00,157652
09-01-2018 12:00,171955
09-01-2018 13:00,111193
09-01-2018 14:00,150848
09-01-2018 15:00,157304
09-01-2018 16:00,158647
09-01-2018 17:00,130697
09-01-2018 18:00,65155
09-01-2018 19:00,57153
09-01-2018 20:00,36059
09-01-2018 21:00,17961
09-01-2018 22:00,15790
09-01-2018 23:00,9495
10-01-2018 00:00,15174
10-01-2018 01:00,7650
10-01-2018 02:00,476
10-01-2018 03:00,5199
10-01-2018 04:00,0
10-01-2018 05:00,197
10-01-2018 06:00,0
10-01-2018 07:00,2297
10-01-2018 08:00,29405
10-01-2018 09:00,70146
10-01-2018 10:00,104831
10-01-2018 11:00,191170
10-01-2018 12:00,220502
10-01-2018 13:00,146358
10-01-2018 14:00,130292
10-01-2018 15:00,118533
10-01-2018 16:00,159946
10-01-2018 17:00,162883
10-01-2018 18:00,61135
10-01-2018 19:00,31092
10-01-2018 20:00,31410
10-01-2018 21:00,26853
10-01-2018 22:00,21235
10-01-2018 23:00,14525
11-01-2018 00:00,6063
11-01-2018 01:00,5725
11-01-2018 02:00,2303
11-01-2018 03:00,1225
11-01-2018 04:00,1758
11-01-2018 05:00,865
11-01-2018 06:00,5452
11-01-2018 07:00,2787
11-01-2018 08:00,38133
11-01-2018 09:00,44911
11-01-2018 10:00,88875
11-01-2018 11:00,201786
11-01-2018 12:00,161964
11-01-2018 13:00,152561
11-01-2018 14:00,130279
11-01-2018 15:00,188948
11-01-2018 16:00,161545
11-01-2018 17:00,101044
11-01-2018 18:00,66037
11-01-2018 19:00,52268
11-01-2018 20:00,29531
11-01-2018 21:00,24192
11-01-2018 22:00,19042
11-01-2018 23:00,27820
12-01-2018 00:00,7994
12-01-2018 01:00,12161
12-01-2018 02:00,442
12-01-2018 03:00,3496
12-01-2018 04:00,294
12-01-2018 05:00,324
12-01-2018 06:00,689
12-01-2018 07:00,3818
12-01-2018 08:00,19852
12-01-2018 09:00,61290
12-01-2018 10:00,69581
12-01-2018 11:00,143433
12-01-2018 12:00,172997
12-01-2018 13:00,122440
